



User ID: 0


Parameters of the Don generation
Type=7, min=50, max=1500
Lambda=1, k=1, alpha=1.1, xm=0.081, avg=750, sigma=150
Internal stats of the Don generation: 200 values, mean=50

Distribution of the Don generation
Distrib_type;Start_of_range;Number_of_times
Don;50;200
Don;64;0
Don;79;0
Don;93;0
Don;108;0
Don;122;0
Don;137;0
Don;151;0
Don;166;0
Don;180;0
Don;195;0
Don;209;0
Don;224;0
Don;238;0
Don;253;0
Don;267;0
Don;282;0
Don;296;0
Don;311;0
Don;325;0
Don;340;0
Don;354;0
Don;369;0
Don;383;0
Don;398;0
Don;412;0
Don;427;0
Don;441;0
Don;456;0
Don;470;0
Don;485;0
Don;499;0
Don;514;0
Don;528;0
Don;543;0
Don;557;0
Don;572;0
Don;586;0
Don;601;0
Don;615;0
Don;630;0
Don;644;0
Don;659;0
Don;673;0
Don;688;0
Don;702;0
Don;717;0
Don;731;0
Don;746;0
Don;760;0
Don;775;0
Don;789;0
Don;804;0
Don;818;0
Don;833;0
Don;847;0
Don;862;0
Don;876;0
Don;891;0
Don;905;0
Don;920;0
Don;934;0
Don;949;0
Don;963;0
Don;978;0
Don;992;0
Don;1007;0
Don;1021;0
Don;1036;0
Don;1050;0
Don;1065;0
Don;1079;0
Don;1094;0
Don;1108;0
Don;1123;0
Don;1137;0
Don;1152;0
Don;1166;0
Don;1181;0
Don;1195;0
Don;1210;0
Don;1224;0
Don;1239;0
Don;1253;0
Don;1268;0
Don;1282;0
Don;1297;0
Don;1311;0
Don;1326;0
Don;1340;0
Don;1355;0
Don;1369;0
Don;1384;0
Don;1398;0
Don;1413;0
Don;1427;0
Don;1442;0
Don;1456;0
Don;1471;0
Don;1485;0
Don;1500;0


Parameters of the Doff generation
Type=5, min=10, max=3900
Lambda=0.28, k=0.74, alpha=0.36, xm=1, avg=1950, sigma=390
Internal stats of the Doff generation: 200 values, mean=1938.64

Distribution of the Doff generation
Distrib_type;Start_of_range;Number_of_times
Doff;10;0
Doff;48;0
Doff;87;0
Doff;126;0
Doff;165;0
Doff;204;0
Doff;243;0
Doff;282;0
Doff;321;0
Doff;360;0
Doff;399;0
Doff;437;0
Doff;476;0
Doff;515;0
Doff;554;1
Doff;593;0
Doff;632;0
Doff;671;0
Doff;710;0
Doff;749;0
Doff;788;0
Doff;826;0
Doff;865;0
Doff;904;0
Doff;943;0
Doff;982;0
Doff;1021;0
Doff;1060;0
Doff;1099;0
Doff;1138;1
Doff;1177;1
Doff;1215;1
Doff;1254;2
Doff;1293;1
Doff;1332;3
Doff;1371;2
Doff;1410;5
Doff;1449;6
Doff;1488;3
Doff;1527;3
Doff;1566;11
Doff;1604;5
Doff;1643;8
Doff;1682;8
Doff;1721;8
Doff;1760;7
Doff;1799;5
Doff;1838;6
Doff;1877;13
Doff;1916;9
Doff;1955;7
Doff;1993;6
Doff;2032;6
Doff;2071;9
Doff;2110;5
Doff;2149;5
Doff;2188;6
Doff;2227;7
Doff;2266;5
Doff;2305;8
Doff;2344;5
Doff;2382;3
Doff;2421;4
Doff;2460;0
Doff;2499;4
Doff;2538;1
Doff;2577;2
Doff;2616;1
Doff;2655;0
Doff;2694;3
Doff;2733;0
Doff;2771;1
Doff;2810;0
Doff;2849;1
Doff;2888;1
Doff;2927;1
Doff;2966;0
Doff;3005;0
Doff;3044;0
Doff;3083;0
Doff;3122;0
Doff;3160;0
Doff;3199;0
Doff;3238;0
Doff;3277;0
Doff;3316;0
Doff;3355;0
Doff;3394;0
Doff;3433;0
Doff;3472;0
Doff;3511;0
Doff;3549;0
Doff;3588;0
Doff;3627;0
Doff;3666;0
Doff;3705;0
Doff;3744;0
Doff;3783;0
Doff;3822;0
Doff;3861;0
Doff;3900;0




User ID: 1


Parameters of the Don generation
Type=7, min=50, max=1500
Lambda=1, k=1, alpha=1.1, xm=0.081, avg=750, sigma=150
Internal stats of the Don generation: 200 values, mean=50.075

Distribution of the Don generation
Distrib_type;Start_of_range;Number_of_times
Don;50;199
Don;64;1
Don;79;0
Don;93;0
Don;108;0
Don;122;0
Don;137;0
Don;151;0
Don;166;0
Don;180;0
Don;195;0
Don;209;0
Don;224;0
Don;238;0
Don;253;0
Don;267;0
Don;282;0
Don;296;0
Don;311;0
Don;325;0
Don;340;0
Don;354;0
Don;369;0
Don;383;0
Don;398;0
Don;412;0
Don;427;0
Don;441;0
Don;456;0
Don;470;0
Don;485;0
Don;499;0
Don;514;0
Don;528;0
Don;543;0
Don;557;0
Don;572;0
Don;586;0
Don;601;0
Don;615;0
Don;630;0
Don;644;0
Don;659;0
Don;673;0
Don;688;0
Don;702;0
Don;717;0
Don;731;0
Don;746;0
Don;760;0
Don;775;0
Don;789;0
Don;804;0
Don;818;0
Don;833;0
Don;847;0
Don;862;0
Don;876;0
Don;891;0
Don;905;0
Don;920;0
Don;934;0
Don;949;0
Don;963;0
Don;978;0
Don;992;0
Don;1007;0
Don;1021;0
Don;1036;0
Don;1050;0
Don;1065;0
Don;1079;0
Don;1094;0
Don;1108;0
Don;1123;0
Don;1137;0
Don;1152;0
Don;1166;0
Don;1181;0
Don;1195;0
Don;1210;0
Don;1224;0
Don;1239;0
Don;1253;0
Don;1268;0
Don;1282;0
Don;1297;0
Don;1311;0
Don;1326;0
Don;1340;0
Don;1355;0
Don;1369;0
Don;1384;0
Don;1398;0
Don;1413;0
Don;1427;0
Don;1442;0
Don;1456;0
Don;1471;0
Don;1485;0
Don;1500;0


Parameters of the Doff generation
Type=5, min=10, max=3900
Lambda=0.28, k=0.74, alpha=0.36, xm=1, avg=1950, sigma=390
Internal stats of the Doff generation: 200 values, mean=1938.9

Distribution of the Doff generation
Distrib_type;Start_of_range;Number_of_times
Doff;10;0
Doff;48;0
Doff;87;0
Doff;126;0
Doff;165;0
Doff;204;0
Doff;243;0
Doff;282;0
Doff;321;0
Doff;360;0
Doff;399;0
Doff;437;0
Doff;476;0
Doff;515;0
Doff;554;1
Doff;593;0
Doff;632;0
Doff;671;0
Doff;710;0
Doff;749;0
Doff;788;0
Doff;826;0
Doff;865;0
Doff;904;0
Doff;943;0
Doff;982;1
Doff;1021;1
Doff;1060;1
Doff;1099;1
Doff;1138;2
Doff;1177;2
Doff;1215;1
Doff;1254;3
Doff;1293;3
Doff;1332;1
